xb@giga:[~/cs527-explore/mpx/llcbench/cachebench]:  sleep 30 ; ./cachebench -rwbsp -x1 -m24 -d5 -e10

                Memory Set Library Cache Test

C Size          Nanosec         MB/sec          % Chnge
16777216        0.03            34355.42        1.01           
16777216        0.03            34393.18        1.00           
16777216        0.03            34371.05        1.00           
16777216        0.03            34372.99        1.00           
16777216        0.03            34370.50        1.00           
16777216        0.03            34393.64        1.00           
16777216        0.03            34379.63        1.00           
16777216        0.03            34326.12        1.00           
16777216        0.03            34282.90        1.00           
16777216        0.03            34377.78        1.00           

                Memory Copy Library Cache Test

C Size          Nanosec         MB/sec          % Chnge
-------         -------         -------         -------
256             0.01            144820.57       1.00           
256             0.01            144891.13       1.00           
256             0.01            144822.49       1.00           
256             0.01            145045.92       1.00           
256             0.01            145015.76       1.00           
256             0.01            145169.86       1.00           
256             0.01            144953.43       1.00           
256             0.01            144920.02       1.00           
256             0.01            144781.76       1.00           
256             0.01            145022.78       1.00           
384             0.01            141417.02       1.03           
384             0.01            141418.93       1.00           
384             0.01            141418.07       1.00           
384             0.01            141415.63       1.00           
384             0.01            141417.40       1.00           
384             0.01            141415.99       1.00           
384             0.01            141415.15       1.00           
384             0.01            141417.62       1.00           
384             0.01            141415.25       1.00           
384             0.01            141415.56       1.00           
512             0.01            167432.81       0.84           
512             0.01            167583.89       1.00           
512             0.01            167506.97       1.00           
512             0.01            167535.14       1.00           
512             0.01            167707.47       1.00           
512             0.01            167629.23       1.00           
512             0.01            167642.07       1.00           
512             0.01            167581.82       1.00           
512             0.01            167645.28       1.00           
512             0.01            167518.31       1.00           
768             0.00            197645.95       0.85           
768             0.00            197643.62       1.00           
768             0.00            197645.99       1.00           
768             0.00            197638.62       1.00           
768             0.00            197643.85       1.00           
768             0.00            197644.48       1.00           
768             0.00            197646.17       1.00           
768             0.00            197642.41       1.00           
768             0.00            197644.38       1.00           
768             0.00            197644.34       1.00           
1024            0.00            207027.38       0.95           
1024            0.00            207047.25       1.00           
1024            0.00            207113.14       1.00           
1024            0.00            207085.28       1.00           
1024            0.00            207104.68       1.00           
1024            0.00            207160.01       1.00           
1024            0.00            207266.91       1.00           
1024            0.00            207013.36       1.00           
1024            0.00            207150.25       1.00           
1024            0.00            207092.60       1.00           
1536            0.00            234247.72       0.88           
1536            0.00            234145.74       1.00           
1536            0.00            234194.84       1.00           
1536            0.00            234127.75       1.00           
1536            0.00            234191.40       1.00           
1536            0.00            234366.10       1.00           
1536            0.00            234221.75       1.00           
1536            0.00            234208.61       1.00           
1536            0.00            234323.24       1.00           
1536            0.00            234181.89       1.00           
2048            0.00            239545.58       0.98           
2048            0.00            240045.48       1.00           
2048            0.00            239987.79       1.00           
